Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Latitude,Longitude,Area_Per_Room,Distance_To_Public_Service,Log_Price
930,220,-0.5921124460953614,-0.3333900737100774,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,-23.543138,-46.479486,-0.7378598686387854,0.7764567343826091,6.836259277277067
1000,148,-0.6301277054221669,-0.3333900737100774,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,-23.550239,-46.480718,-0.8039388818516133,-0.385511551432286,6.90875477931522
1000,100,-0.5731048164319587,-0.3333900737100774,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,-23.542818,-46.485665,-0.7048203620323714,1.1637794963209074,6.90875477931522
1000,200,-0.5731048164319587,-0.3333900737100774,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,-23.547171,-46.483014,-0.7048203620323714,0.0018112105060123,6.90875477931522
1300,410,-0.4400514087881391,-0.3333900737100774,2,1,1,1,0,0,0,Artur Alvim/São Paulo,rent,-23.525025,-46.482436,-0.4735438157874735,0.7764567343826091,7.170888478512505
1170,0,-0.535089557105153,-0.3333900737100774,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,-23.548751,-46.477195,-0.6387413488195435,-0.7728343133705844,7.065613363597717
1000,180,-0.4970742977783475,-1.6695980025538033,2,1,1,1,0,0,0,Artur Alvim/São Paulo,rent,-23.54984,-46.484137,1.1453920079268112,0.7764567343826091,6.90875477931522
900,150,-0.7251658537391809,-0.3333900737100774,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,-23.53974,-46.49267,-0.9691364148836832,1.1637794963209074,6.803505257608338
1000,0,-0.2499751121541113,-0.3333900737100774,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,-23.548751,-46.477195,-0.1431487497233338,0.0018112105060123,6.90875477931522
1000,0,0.4152919260649859,-0.3333900737100774,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,-23.548751,-46.477195,1.0132339815011553,-0.385511551432286,6.90875477931522
760,160,-0.7631811130659863,-0.3333900737100774,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,-23.55185,-46.491169,-1.0352154280965111,1.1637794963209074,6.634633357861686
800,150,-0.5731048164319587,-0.3333900737100774,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,-23.545761,-46.479509,-0.7048203620323714,1.1637794963209074,6.68586094706836
900,130,-0.4210437791247364,-0.3333900737100774,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,-23.552073,-46.483411,-0.4405043091810596,-0.7728343133705844,6.803505257608338
1000,200,-0.4210437791247364,-0.3333900737100774,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,-23.541366,-46.483726,-0.4405043091810596,0.3891339724443107,6.90875477931522
1800,418,-0.4590590384515419,-0.3333900737100774,2,1,1,1,0,1,0,Belém/São Paulo,rent,-23.543955,-46.586619,-0.5065833223938876,0.0018112105060123,7.496097345175956
1600,416,-0.6301277054221669,-0.3333900737100774,2,1,1,0,0,0,0,Belém/São Paulo,rent,-23.544698,-46.602114,-0.8039388818516133,-1.1601570753088828,7.378383712996714
1500,337,-0.4400514087881391,-0.3333900737100774,2,1,1,1,0,0,0,Belém/São Paulo,rent,-23.546104,-46.594579,-0.4735438157874735,1.1637794963209074,7.313886831633462
1600,306,-0.6681429647489725,-0.3333900737100774,2,1,1,1,0,0,0,Belém/São Paulo,rent,-23.534606,-46.595084,-0.8700178950644413,0.3891339724443107,7.378383712996714
1600,150,0.0351393327969303,-0.3333900737100774,2,1,1,1,0,0,0,Belém/São Paulo,rent,-23.53962,-46.596337,0.3524438493728757,-1.1601570753088828,7.378383712996714
1600,420,-0.6111200757587641,-0.3333900737100774,2,1,1,0,0,0,0,Belém/São Paulo,rent,-23.544698,-46.602114,-0.7708993752451994,0.0018112105060123,7.378383712996714
1900,800,-0.2119598528273058,1.0028178551336484,2,1,1,1,1,0,0,Belém/São Paulo,rent,-23.53838,-46.589441,-0.8149520507204181,-1.5474798372471812,7.550135342488429
2500,720,-0.192952223163903,1.0028178551336484,2,1,1,0,0,1,0,Belém/São Paulo,rent,-23.538163,-46.591505,-0.7929257129828086,0.3891339724443107,7.824445930877619
1400,743,-0.2879903714809169,-0.3333900737100774,2,1,1,0,0,1,0,Belém/São Paulo,rent,-23.540023,-46.586898,-0.2092277629361618,1.5511022582592058,7.244941546337007
1800,530,-0.364020890134528,1.0028178551336484,2,1,1,0,0,0,0,Belém/São Paulo,rent,-23.544698,-46.602114,-0.9911627526212924,-1.5474798372471812,7.496097345175956
1500,2893,2.8862837823073475,1.0028178551336484,2,1,2,0,0,0,0,Belém/São Paulo,rent,-23.540212,-46.585702,2.775341000509901,-0.7728343133705844,7.313886831633462
2300,857,0.662391111689222,1.0028178551336484,2,1,2,1,0,0,0,Belém/São Paulo,rent,-23.538134,-46.594059,0.1982594852096104,0.7764567343826091,7.741099090035366
2250,530,-0.192952223163903,-0.3333900737100774,2,1,1,0,0,1,0,Belém/São Paulo,rent,-23.538163,-46.591505,-0.0440302299040919,-0.385511551432286,7.719129840906732
1700,445,-0.2499751121541113,-0.3333900737100774,2,1,1,0,0,1,0,Belém/São Paulo,rent,-23.532871,-46.601244,-0.1431487497233338,1.5511022582592058,7.438971592395862
1726,290,-0.4400514087881391,-0.3333900737100774,2,1,1,1,0,1,0,Belém/São Paulo,rent,-23.534606,-46.595084,-0.4735438157874735,-0.7728343133705844,7.454141078146678
